Page_Name,Start_Time,End_Time,Duration
Welcome_1,1754412518.46234,1754412520.020546,1.5582058429718018
Instructions_1,1754412520.0205991,1754412520.9425159,0.9219167232513428
Instructions_2,1754412520.942612,1754412521.4595242,0.5169122219085693
Instructions_3,1754412521.459591,1754412521.871558,0.41196703910827637
condo,1754412526.147862,1754412526.867862,0.72
makeup,1754412528.273189,1754412530.013189,1.74
apple,1754412531.218142,1754412532.958142,1.74
baker,1754412534.363276,1754412535.903276,1.54
List_Demo_1,1754412521.8716218,1754412536.003453,14.131831169128418
Instructions_4,1754412536.003504,1754412536.716634,0.713129997253418
banana,1754412536.1556852,1754412538.9556851,2.8
hairdresser,1754412539.8391328,1754412541.9991329,2.16
closet,1754412550.307213,1754412550.927213,0.62
mother,1754412552.130146,1754412553.870146,1.74
List_1,1754412536.716688,1754412553.9703228,17.253634929656982
cloud,1754412554.71899,1754412556.9189901,2.2
soccer,1754412558.1029222,1754412559.962922,1.86
penguin,1754412561.084053,1754412562.904053,1.82
table,1754412564.2689621,1754412565.848962,1.58
List_2,1754412553.970377,1754412565.949143,11.978765964508057
chair,1754412567.3784652,1754412568.998465,1.62
dance,1754412570.4405282,1754412571.9405282,1.5
bottle,1754412586.234683,1754412586.854683,0.62
sunshine,1754412588.07879,1754412589.89879,1.82
List_3,1754412565.949232,1754412589.998989,24.04975700378418
ThankYou_1,1754412589.999041,1754412591.020268,1.0212268829345703
